Well,Height,Volume,Top,Side
A3,685.4663696289062,52251.783736184356,2023.4419861226388,1930.8600454007353
A7,632.0631103515625,128625.70281992572,3252.8040497057823,3497.831264560637
C3,669.4257202148438,59396.10946526225,2386.4210167616457,2059.220901025646
C5,637.62158203125,76808.86033538515,2835.198558285841,2529.6523581866186
C11,631.8648071289062,81652.98709377459,3679.9889949150534,1485.1920807056624
D3,664.0526123046875,115996.25244121422,3092.1812732196736,2657.3102796130306
D5,678.4925537109375,75415.78485571359,2748.4933463295533,1897.525653091209
D7,562.4795532226562,78891.92564915141,2153.335916822829,1755.066045492093
E1,498.8930358886719,104937.48751745824,2724.188336800966,2263.1064205150874
F3,715.0271606445312,55981.16890032951,2091.455214328581,2151.456644524486
F5,644.7166137695312,123808.56370049814,3066.7296906075776,3422.1858041782752
G1,661.1100463867188,97778.05612202504,2478.6645922769144,2746.463193873578
G7,306.7763977050781,111102.0530309823,3146.326137809839,2984.184336637844
H11,426.4387512207031,110219.67668505044,2651.5728278417973,2839.887682768846
A1,536.1068115234375,105727.6606521292,3351.172535358817,3021.938592366183
A3,684.32568359375,73666.34204810273,2484.8901447491007,2267.7591616941477
A7,298.17291259765625,106132.04813764815,4228.171537779071,2068.1745874506255
B3,688.3206787109375,71310.83039299316,2131.6590976262432,2517.535970952948
B11,276.4879455566406,113714.14753001809,2792.3875082198692,3345.603523601478
C3,668.4290161132812,64377.44134133014,2531.8165936653136,1979.7160282690968
C5,637.5767822265625,79719.58850099146,2976.8373902017265,2595.659430778984
C7,643.19580078125,83947.6387072245,1975.68479362749,2459.5642309323002
C11,628.9432373046875,145712.60652224187,2922.920851073433,2804.6223430752443
D5,679.0995483398438,92659.29236030819,2551.677781171266,2471.8667673926793
E1,678.5067749023438,79992.45247166647,2455.549459904058,2703.54486702088
E7,332.8272705078125,106527.41735727679,3136.583803304171,2858.43630589128
F3,714.8104858398438,67351.97420844244,2344.4571139812274,2287.8221989044755
F5,647.6170654296875,101355.04464017275,3104.265016134698,2358.6549353302294
H11,482.7875061035156,130153.26643629983,3182.945487742556,2973.682176998889
A3,684.32568359375,63332.244233873374,2111.339447169778,2267.7591616941477
A7,299.1114807128906,133680.1134738038,4584.364199476034,3533.0482454978905
B3,689.3939208984375,73545.74263653702,2220.763083875303,2472.918591099781
B11,651.1436767578125,93343.34181999102,2831.563029563637,2711.404484870654
C5,637.5767822265625,79719.58850099146,2976.8373902017265,2595.659430778984
C7,628.6301879882812,85805.61094542596,1542.7686028314072,3114.592117127495
C9,335.77392578125,117663.74854175694,3844.4388230101135,2749.2191209084062
C11,631.2637939453125,95552.61721147582,2928.49133547632,2525.6764464827374
D5,682.46240234375,82625.65873661514,2587.8920889682604,2186.7388418677274
D7,429.5614318847656,129052.56852457343,3554.3339342824383,2456.562098386938
F1,679.8834838867188,73245.39205508081,2564.171620270887,2124.440138317166
F3,713.867919921875,55544.912419304266,2144.2848705218717,2002.1759220984895
F5,647.6170654296875,101355.04464017275,3104.265016134698,2358.6549353302294
H1,496.05853271484375,126894.01747399656,3312.6532508175346,3156.2924723611627
H11,426.4387512207031,126398.18244230463,3172.6665592903278,2839.887682768846
